quadrature_order,C2_endpoint,min_quadrature_gap
4.000000000000000000e+00,1.013039362421874090e+00,1.241810087586340039e+00
5.000000000000000000e+00,9.820542593312122648e-01,1.339594324989155982e+00
6.000000000000000000e+00,1.006442973347131620e+00,1.232574639676725203e+00
7.000000000000000000e+00,9.985587019116857199e-01,1.251836547707746217e+00
8.000000000000000000e+00,1.000092516066646064e+00,1.233370990514769838e+00
