beta_over_alpha,min_label_resolution_gap,C_pp,C_pm,C_mp,C_mm,chi
1.499999999999999944e-01,1.893294022569328439e-01,1.000000000000000222e+00,-9.999999999999996669e-01,-1.000000000000000222e+00,1.000000000000000222e+00,4.000000000000000000e+00
2.500000000000000000e-01,3.556879254191341877e-01,1.000000000000000444e+00,-1.000000000000000000e+00,-1.000000000000000666e+00,1.000000000000000000e+00,4.000000000000000888e+00
3.499999999999999778e-01,5.220479412117314810e-01,1.000000000000000888e+00,-1.000000000000000222e+00,-1.000000000000000444e+00,9.999999999999993339e-01,4.000000000000000888e+00
4.499999999999999556e-01,6.867253865444953309e-01,1.000000000000000444e+00,-1.000000000000000888e+00,-1.000000000000000666e+00,1.000000000000000888e+00,4.000000000000002665e+00
5.499999999999999334e-01,6.704351459648918432e-01,1.000000000000000000e+00,-9.999999999999990008e-01,-9.999999999999987788e-01,1.000000000000000000e+00,3.999999999999997780e+00
6.499999999999999112e-01,5.029515021732146041e-01,1.000000000000000666e+00,-1.000000000000000888e+00,-1.000000000000000888e+00,1.000000000000000444e+00,4.000000000000003553e+00
7.500000000000000000e-01,3.266661745568123498e-01,1.000000000000000444e+00,-1.000000000000000666e+00,-9.999999999999990008e-01,9.999999999999996669e-01,3.999999999999999556e+00
8.499999999999999778e-01,1.497344382287882913e-01,1.000000000000000222e+00,-1.000000000000000444e+00,-9.999999999999996669e-01,9.999999999999994449e-01,4.000000000000000000e+00
