kind_code,target,readout_flip_probability,shots_per_setting,settings_per_parameter_point,shots_per_parameter_point,equatorial_points_per_family,total_equatorial_shots_per_family,W3_clean_grid,mean_winding,std_winding,mean_projector_distance_rms,mean_subspace_fidelity,mean_min_patch_overlap,minimum_patch_overlap,mean_parity_margin,minimum_parity_margin,parity_margin_10th_percentile,parity_correct_rate,parity_correct_ci_low,parity_correct_ci_high,integer_correct_rate
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+02,2.700000000000000000e+01,4.050000000000000000e+03,1.280000000000000000e+02,5.184000000000000000e+05,1.942941953974608893e+00,1.540526980900886356e+00,4.952398542975502971e-02,1.808130284183946945e-01,9.673024256042297431e-01,2.110708590005720420e-01,1.519811661673750869e-01,5.256630883509431917e-02,6.009253670202774344e-05,8.377872519214134978e-03,8.100000000000000533e-01,7.222115462093562366e-01,8.748524849023125993e-01,8.100000000000000533e-01
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+02,2.700000000000000000e+01,5.400000000000000000e+03,1.280000000000000000e+02,6.912000000000000000e+05,1.942941953974608893e+00,1.632804277031702611e+00,3.841082640422481542e-02,1.572401740531495229e-01,9.752724251854765214e-01,2.508957923531134893e-01,1.997340207506567711e-01,1.328042770317027776e-01,3.570717913447585268e-02,8.586831537827965821e-02,1.000000000000000000e+00,9.630065017930142801e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+02,2.700000000000000000e+01,8.100000000000000000e+03,1.280000000000000000e+02,1.036800000000000000e+06,1.942941953974608893e+00,1.733257059531065014e+00,2.853362051024767310e-02,1.290215438462479214e-01,9.833514429534401247e-01,2.936504955606497047e-01,2.513322759303098231e-01,2.332570595310649864e-01,1.352942997568482575e-01,2.008393129203502603e-01,1.000000000000000000e+00,9.630065017930142801e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+02,2.700000000000000000e+01,1.350000000000000000e+04,1.280000000000000000e+02,1.728000000000000000e+06,1.942941953974608893e+00,1.816956572195147723e+00,1.633617774697466649e-02,1.004776847543719376e-01,9.899026377434501089e-01,3.371842878494646922e-01,3.011634608586292727e-01,3.169565721951473347e-01,2.704980226919013742e-01,2.965974460233923304e-01,1.000000000000000000e+00,9.630065017930142801e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000104e-03,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,1.942941953974608893e+00,1.351101428907580448e+00,7.762648473014167882e-02,2.226684924694342926e-01,9.504126450891241529e-01,1.472832519504932158e-01,3.918402398153707222e-02,1.488985710924193850e-01,9.656331631602288468e-03,6.235311564612253804e-02,0.000000000000000000e+00,3.469446951953614189e-18,3.699349820698567826e-02,0.000000000000000000e+00
1.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000104e-03,1.500000000000000000e+02,2.700000000000000000e+01,4.050000000000000000e+03,1.280000000000000000e+02,5.184000000000000000e+05,1.942941953974608893e+00,1.532383667506625136e+00,5.638925030442317604e-02,1.834019539816430233e-01,9.663590175707702512e-01,2.119892623537953380e-01,1.617870537920974294e-01,5.433837017422984278e-02,1.835127477877396274e-03,1.141074454736874626e-02,7.299999999999999822e-01,6.356788323205498914e-01,8.073041585042365353e-01,7.299999999999999822e-01
1.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000104e-03,2.000000000000000000e+02,2.700000000000000000e+01,5.400000000000000000e+03,1.280000000000000000e+02,6.912000000000000000e+05,1.942941953974608893e+00,1.628016392461764772e+00,5.149537318600892755e-02,1.594870291136272766e-01,9.745601628439466424e-01,2.439594003821000945e-01,1.604818284994328215e-01,1.280163924617646332e-01,1.969588800298849307e-03,5.639296301184115734e-02,1.000000000000000000e+00,9.630065017930142801e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000104e-03,3.000000000000000000e+02,2.700000000000000000e+01,8.100000000000000000e+03,1.280000000000000000e+02,1.036800000000000000e+06,1.942941953974608893e+00,1.725429608259533509e+00,3.222931282532064123e-02,1.307243985460986579e-01,9.829083115248807845e-01,2.887933797811079728e-01,2.368186718938513624e-01,2.254296082595332595e-01,1.248049177329182413e-01,1.888882823178226755e-01,1.000000000000000000e+00,9.630065017930142801e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000104e-03,5.000000000000000000e+02,2.700000000000000000e+01,1.350000000000000000e+04,1.280000000000000000e+02,1.728000000000000000e+06,1.942941953974608893e+00,1.806320733018190738e+00,1.799402633389876605e-02,1.019418526710411110e-01,9.896067710321502231e-01,3.351846071197968069e-01,2.756271448560296822e-01,3.063207330181907384e-01,2.609603870049121976e-01,2.833391420968472407e-01,1.000000000000000000e+00,9.630065017930142801e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000021e-02,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,1.942941953974608893e+00,1.329573497563678819e+00,8.328241437583684681e-02,2.253706403316046158e-01,9.492021388603982812e-01,1.459813911900182948e-01,5.753123460601272665e-02,1.709751603029434075e-01,1.290628503797019988e-03,7.175173085812298901e-02,1.000000000000000021e-02,1.767432064140650461e-03,5.448619617870531506e-02,1.000000000000000021e-02
1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000021e-02,1.500000000000000000e+02,2.700000000000000000e+01,4.050000000000000000e+03,1.280000000000000000e+02,5.184000000000000000e+05,1.942941953974608893e+00,1.499173140882868793e+00,5.378212873916721204e-02,1.858216798999678954e-01,9.654664513875728105e-01,2.038159855887125282e-01,1.446571900563419777e-01,4.089059628090548071e-02,6.769474138492714843e-04,4.852200289848696349e-03,5.100000000000000089e-01,4.134801193402716790e-01,6.057800106955886221e-01,5.100000000000000089e-01
1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000021e-02,2.000000000000000000e+02,2.700000000000000000e+01,5.400000000000000000e+03,1.280000000000000000e+02,6.912000000000000000e+05,1.942941953974608893e+00,1.612525565694705509e+00,4.317544106199661114e-02,1.621157080766606751e-01,9.737152631217382837e-01,2.412036840808385874e-01,1.783721570286581903e-01,1.125321255624153610e-01,3.279933855075967131e-04,5.901100882028127714e-02,9.899999999999999911e-01,9.455138038212945739e-01,9.982325679358593495e-01,9.899999999999999911e-01
1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000021e-02,3.000000000000000000e+02,2.700000000000000000e+01,8.100000000000000000e+03,1.280000000000000000e+02,1.036800000000000000e+06,1.942941953974608893e+00,1.710516612832521988e+00,2.908577266705062933e-02,1.330611804490083871e-01,9.822919848117459551e-01,2.861697242124081053e-01,2.338265161263725078e-01,2.105166128325217378e-01,1.384885267312605528e-01,1.725805279255888947e-01,1.000000000000000000e+00,9.630065017930142801e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000021e-02,5.000000000000000000e+02,2.700000000000000000e+01,1.350000000000000000e+04,1.280000000000000000e+02,1.728000000000000000e+06,1.942941953974608893e+00,1.795638966019189597e+00,1.667166219021169044e-02,1.034069282046645583e-01,9.893053367335790105e-01,3.340898966323364583e-01,3.012670557698346463e-01,2.956389660191893198e-01,2.497900078514430078e-01,2.733549335652266099e-01,1.000000000000000000e+00,9.630065017930142801e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000042e-02,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,1.942941953974608893e+00,1.280687397685927875e+00,8.369495386421084426e-02,2.322141504543006052e-01,9.460696217560774501e-01,1.356137553836899712e-01,5.106139466501416480e-02,2.203430839987786938e-01,1.628442417230724359e-02,1.309251003064986207e-01,2.000000000000000042e-02,5.501967550162349674e-03,7.001179072854388230e-02,2.000000000000000042e-02
1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000042e-02,1.500000000000000000e+02,2.700000000000000000e+01,4.050000000000000000e+03,1.280000000000000000e+02,5.184000000000000000e+05,1.942941953974608893e+00,1.470367549910879923e+00,7.075403714111873354e-02,1.915717311029955239e-01,9.632957117782171563e-01,1.962771237865992835e-01,1.274551592273593659e-01,6.327279629120825810e-02,9.499861361443873164e-04,1.221876857825925436e-02,3.400000000000000244e-01,2.546152079734816387e-01,4.372227114527537650e-01,3.400000000000000244e-01
1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000042e-02,2.000000000000000000e+02,2.700000000000000000e+01,5.400000000000000000e+03,1.280000000000000000e+02,6.912000000000000000e+05,1.942941953974608893e+00,1.581613522253672688e+00,5.160310026059818783e-02,1.667872307268184751e-01,9.721788990421659227e-01,2.404821354034989977e-01,1.821814983041664116e-01,8.298745252912671788e-02,1.152202151806225316e-03,1.972294015944151685e-02,9.599999999999999645e-01,9.016292856411207701e-01,9.843366960084523054e-01,9.599999999999999645e-01
1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000042e-02,3.000000000000000000e+02,2.700000000000000000e+01,8.100000000000000000e+03,1.280000000000000000e+02,1.036800000000000000e+06,1.942941953974608893e+00,1.688248383901035599e+00,2.870879438710218987e-02,1.368898814442831846e-01,9.812583446477930460e-01,2.820353691648858629e-01,2.362013989617158527e-01,1.882483839010357929e-01,1.139489389543102416e-01,1.553347255893949286e-01,1.000000000000000000e+00,9.630065017930142801e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000042e-02,5.000000000000000000e+02,2.700000000000000000e+01,1.350000000000000000e+04,1.280000000000000000e+02,1.728000000000000000e+06,1.942941953974608893e+00,1.780329785996322967e+00,2.171332294728945192e-02,1.066514550265588029e-01,9.886236343121836967e-01,3.286620950129320318e-01,2.701533162876046945e-01,2.803297859963229111e-01,2.219425180646275031e-01,2.504244542405487106e-01,1.000000000000000000e+00,9.630065017930142801e-01,1.000000000000000000e+00,1.000000000000000000e+00
