grid_N,equatorial_parameter_points_per_family,projector_reconstructions_per_family,transition_matrices_per_family,one_time_pole_calibrations,local_Pauli_basis_settings_per_point,outcomes_per_setting,nontrivial_Pauli_coefficients,intrinsic_real_parameters_rank4_projector_in_dim8
4.000000000000000000e+00,1.280000000000000000e+02,1.280000000000000000e+02,1.280000000000000000e+02,2.000000000000000000e+00,2.700000000000000000e+01,8.000000000000000000e+00,6.300000000000000000e+01,3.200000000000000000e+01
5.000000000000000000e+00,2.500000000000000000e+02,2.500000000000000000e+02,2.500000000000000000e+02,2.000000000000000000e+00,2.700000000000000000e+01,8.000000000000000000e+00,6.300000000000000000e+01,3.200000000000000000e+01
6.000000000000000000e+00,4.320000000000000000e+02,4.320000000000000000e+02,4.320000000000000000e+02,2.000000000000000000e+00,2.700000000000000000e+01,8.000000000000000000e+00,6.300000000000000000e+01,3.200000000000000000e+01
8.000000000000000000e+00,1.024000000000000000e+03,1.024000000000000000e+03,1.024000000000000000e+03,2.000000000000000000e+00,2.700000000000000000e+01,8.000000000000000000e+00,6.300000000000000000e+01,3.200000000000000000e+01
1.000000000000000000e+01,2.000000000000000000e+03,2.000000000000000000e+03,2.000000000000000000e+03,2.000000000000000000e+00,2.700000000000000000e+01,8.000000000000000000e+00,6.300000000000000000e+01,3.200000000000000000e+01
1.200000000000000000e+01,3.456000000000000000e+03,3.456000000000000000e+03,3.456000000000000000e+03,2.000000000000000000e+00,2.700000000000000000e+01,8.000000000000000000e+00,6.300000000000000000e+01,3.200000000000000000e+01
