kind_code,target,delta,realization,W3_reconstructed,min_patch_overlap,c0,c1,c2,c3,c4,c5
0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000042e-02,0.000000000000000000e+00,9.971785508822222921e-01,3.298619834488580871e-01,-1.790354833532509016e+00,1.002774818397737452e-02,4.468513156580283807e-01,6.460797038332384279e-01,4.935792183159029567e-01,-1.147145353880151930e+00
0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000042e-02,1.000000000000000000e+00,9.972204119683298895e-01,3.256963769947237575e-01,1.591983201709289864e+00,-6.581857756393987291e-01,1.125099292311351334e-01,1.966154813886957300e-02,-9.043341759308947125e-01,-5.580818561631959440e-01
0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000042e-02,2.000000000000000000e+00,9.971262528532176539e-01,3.274360037363278075e-01,5.945310955123722652e-01,7.457786381354064575e-01,-5.866447346702250432e-01,1.092362867739406163e+00,1.196742725812146302e-01,1.389336565514403432e+00
0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000042e-02,3.000000000000000000e+00,9.972323887120020380e-01,3.288335341115591337e-01,-4.625997670901791370e-01,-5.453449886165260274e-01,3.718695391764119118e-01,-4.393669766143195043e-01,-4.854637097016922809e-02,6.635870603131779344e-01
0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000042e-02,4.000000000000000000e+00,9.971782119615985041e-01,3.291964349996407968e-01,-1.594898786537672919e-01,1.623882993736867064e+00,-6.015764950429804969e-01,-8.822057911264264973e-01,-2.581567672415865933e-02,4.972179263972140717e-01
0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000042e-02,5.000000000000000000e+00,9.971479697582358304e-01,3.257742095050317754e-01,1.739791891185398232e+00,-9.326830481889060165e-01,5.905432373446899419e-01,1.229775307004543849e+00,-1.125980576746504480e-01,1.432036009774705354e+00
0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000042e-02,6.000000000000000000e+00,9.970352968591187359e-01,3.270136907532950055e-01,9.397404048290749490e-01,9.643360828509788263e-01,-7.272671318393999496e-01,-1.801482885803361578e+00,1.441135620517738580e+00,-8.157804036655957880e-01
0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000042e-02,7.000000000000000000e+00,9.971896699871385383e-01,3.301329560392575746e-01,-2.053566386081040127e-02,-1.322886343561698597e-01,-1.458595768928151681e+00,-1.174923862746599657e+00,2.134553070533344032e-01,8.118270729642043104e-01
0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000042e-02,8.000000000000000000e+00,9.972026819922916729e-01,3.295599501192120195e-01,-2.503304589984318262e+00,1.221710819283339022e+00,1.396572798633366919e+00,5.670688545176366668e-01,3.332623264153240089e-02,1.735772988038298825e-01
0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000042e-02,9.000000000000000000e+00,9.972640341784905216e-01,3.303681980846655541e-01,-2.764952523133794138e+00,-3.874905219639296350e-01,-4.817620445643369664e-01,-1.046407109199127383e+00,-6.186121750726003565e-01,-1.464017181110687238e+00
