N,determinant_line,projected,gauss_codazzi,max_residual,L2_residual
1.500000000000000000e+01,3.994555276922691078e+00,3.825514822533387260e+00,1.659714571821239992e-01,5.022914677764880528e-03,1.379066000266197627e-03
3.100000000000000000e+01,3.999987377205725725e+00,3.835140841859614458e+00,1.648386504911478201e-01,3.745453264271982052e-04,5.208609536280566047e-05
5.100000000000000000e+01,3.999999992369395407e+00,3.835164060036567069e+00,1.648359271889725530e-01,7.425014934326484850e-06,9.823184929433673344e-07
1.010000000000000000e+02,4.000000000000000888e+00,3.835164074616819629e+00,1.648359253831810367e-01,8.612963779686122479e-10,8.402255120940856913e-11
1.510000000000000000e+02,4.000000000000000000e+00,3.835164074616819629e+00,1.648359253831810090e-01,9.545489398909978718e-14,8.882605623884632118e-15
