Lx,Ly,total_transfer,A_transfer,B_transfer
8.000000000000000000e+00,4.000000000000000000e+00,-8.196981517656354299e-04,7.836514416936779526e-05,3.998099951800923257e+00
1.000000000000000000e+01,4.000000000000000000e+00,-3.087252847411292578e-04,1.614592894760846775e-05,3.995838129452176091e+00
1.200000000000000000e+01,6.000000000000000000e+00,1.255493870054635863e-03,-1.437716126400090388e-04,3.996182980904622539e+00
1.400000000000000000e+01,6.000000000000000000e+00,8.101075648729860745e-04,1.488648326413155587e-04,4.000748227556285563e+00
