ky,energy,edge_weight,ZA_expect,ZB_expect
-3.071779483510019837e+00,-9.496187753795346520e-01,9.999997343737719868e-01,-1.000000000000000000e+00,1.000000000000000000e+00
-3.071779483510019837e+00,-9.317616718052728064e-01,9.999999209416239321e-01,9.999999999999984457e-01,9.999999999999984457e-01
-3.071779483510019837e+00,-1.252887435588102283e-01,1.000000000000000000e+00,-1.000000000000000444e+00,1.000000000000000444e+00
-3.071779483510019837e+00,-1.252887435588100618e-01,9.999999999999995559e-01,9.999999999999997780e-01,-9.999999999999997780e-01
-3.071779483510019837e+00,-7.763289436187947867e-02,1.000000000000000444e+00,-1.000000000000000444e+00,-1.000000000000000444e+00
-3.071779483510019837e+00,1.422419751511369221e-02,1.000000000000000000e+00,1.000000000000000222e+00,1.000000000000000222e+00
-3.071779483510019837e+00,1.422419751511372343e-02,1.000000000000000000e+00,-1.000000000000000444e+00,-1.000000000000000444e+00
-3.071779483510019837e+00,6.236628448526876367e-02,9.999999999999990008e-01,9.999999999999992228e-01,9.999999999999992228e-01
-3.071779483510019837e+00,7.187999287312128727e-02,9.999999999999987788e-01,9.999999999999990008e-01,-9.999999999999990008e-01
-3.071779483510019837e+00,1.518795152148572358e-01,1.000000000000000666e+00,-1.000000000000001110e+00,1.000000000000001110e+00
-3.036872898470133197e+00,-9.365905872783006902e-01,9.999977312819696706e-01,9.999999999999997780e-01,9.999999999999997780e-01
-3.036872898470133197e+00,-1.600592132183593919e-01,9.999999999999704681e-01,9.999999999999997780e-01,-9.999999999999997780e-01
-3.036872898470133197e+00,-1.600592132183593641e-01,9.999999999999701350e-01,-9.999999999999995559e-01,9.999999999999995559e-01
-3.036872898470133197e+00,-1.124042068793865978e-01,9.999999999999727995e-01,-1.000000000000000222e+00,-1.000000000000000222e+00
-3.036872898470133197e+00,2.759166382120895739e-02,9.999999999999751310e-01,9.999999999999997780e-01,9.999999999999997780e-01
-3.036872898470133197e+00,4.899766470213560293e-02,9.999999999999742428e-01,9.999999999999997780e-01,9.999999999999997780e-01
-3.036872898470133197e+00,4.899766470213566538e-02,9.999999999999737987e-01,-9.999999999999993339e-01,-9.999999999999993339e-01
