N_time_steps,total_transfer,A_transfer,B_transfer
1.800000000000000000e+02,-2.334052341668169106e-04,1.046522758496593042e-05,3.996672225078182983e+00
3.600000000000000000e+02,-3.087252847411292578e-04,1.614592894760846775e-05,3.995838129452176091e+00
7.200000000000000000e+02,-3.264383626966349539e-04,1.765528398500748608e-05,3.995646755026205810e+00
1.440000000000000000e+03,-3.308030668334183133e-04,1.803660327848177758e-05,3.995599793942839817e+00
