theta0,total_transfer,A_transfer,B_transfer
1.499999999999999944e-01,-5.944384049109725510e-01,3.716811362323646506e-02,3.406864131694955944e+00
2.999999999999999889e-01,-2.190781099971061963e-04,3.608546203670570662e-04,3.996719974776985929e+00
3.699999999999999956e-01,-3.087252847411292578e-04,1.614592894760846775e-05,3.995838129452176091e+00
4.500000000000000111e-01,9.768434394992198122e-04,-2.111624715546156494e-04,3.997872504147643724e+00
5.999999999999999778e-01,-3.056908709819339265e-03,-1.543108500658973981e-04,3.999299235960277699e+00
