kind_code,target,shots_per_setting,settings_per_parameter_point,shots_per_parameter_point,equatorial_points_per_family,total_equatorial_shots_per_family,one_time_pole_calibrations,realization,W3_clean_grid,W3_reconstructed,min_patch_overlap,projector_distance_rms,mean_subspace_fidelity,nearest_integer,parity_margin_to_half_integer,parity_error,integer_error
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+01,2.700000000000000000e+01,1.080000000000000000e+03,1.280000000000000000e+02,1.382400000000000000e+05,2.000000000000000000e+00,0.000000000000000000e+00,9.583340180861273927e-01,2.820241084437247192e-01,9.601945906637253739e-03,3.420244344298777883e-01,8.830192862529222531e-01,0.000000000000000000e+00,2.179758915562752808e-01,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+01,2.700000000000000000e+01,1.080000000000000000e+03,1.280000000000000000e+02,1.382400000000000000e+05,2.000000000000000000e+00,1.000000000000000000e+00,9.583340180861273927e-01,4.821498612469597433e-01,9.609628512209252710e-03,3.390628241970320422e-01,8.850364012475325781e-01,0.000000000000000000e+00,1.785013875304025666e-02,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+01,2.700000000000000000e+01,1.080000000000000000e+03,1.280000000000000000e+02,1.382400000000000000e+05,2.000000000000000000e+00,2.000000000000000000e+00,9.583340180861273927e-01,5.700432636962142752e-01,4.774558012077768920e-02,3.331392062022122125e-01,8.890182692909600615e-01,1.000000000000000000e+00,7.004326369621427517e-02,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+01,2.700000000000000000e+01,1.080000000000000000e+03,1.280000000000000000e+02,1.382400000000000000e+05,2.000000000000000000e+00,3.000000000000000000e+00,9.583340180861273927e-01,5.091176581013544533e-01,4.632436076503661931e-02,3.366558016947829302e-01,8.866628711852428957e-01,1.000000000000000000e+00,9.117658101354453315e-03,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+01,2.700000000000000000e+01,1.080000000000000000e+03,1.280000000000000000e+02,1.382400000000000000e+05,2.000000000000000000e+00,4.000000000000000000e+00,9.583340180861273927e-01,5.015429612665992520e-01,7.137316875258391258e-02,3.337928582266278532e-01,8.885823277968983858e-01,1.000000000000000000e+00,1.542961266599252035e-03,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+01,2.700000000000000000e+01,1.080000000000000000e+03,1.280000000000000000e+02,1.382400000000000000e+05,2.000000000000000000e+00,5.000000000000000000e+00,9.583340180861273927e-01,4.850040679275146038e-01,2.954935729891161253e-02,3.377117520722844879e-01,8.859507725122678368e-01,0.000000000000000000e+00,1.499593207248539617e-02,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+01,2.700000000000000000e+01,1.080000000000000000e+03,1.280000000000000000e+02,1.382400000000000000e+05,2.000000000000000000e+00,6.000000000000000000e+00,9.583340180861273927e-01,4.635361471934159594e-01,3.471156874770250922e-02,3.358922911672955758e-01,8.871763687343847682e-01,0.000000000000000000e+00,3.646385280658404060e-02,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+01,2.700000000000000000e+01,1.080000000000000000e+03,1.280000000000000000e+02,1.382400000000000000e+05,2.000000000000000000e+00,7.000000000000000000e+00,9.583340180861273927e-01,4.916635891720625984e-01,4.546535765742134444e-02,3.392606458123832436e-01,8.849022142029646654e-01,0.000000000000000000e+00,8.336410827937401624e-03,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+01,2.700000000000000000e+01,1.080000000000000000e+03,1.280000000000000000e+02,1.382400000000000000e+05,2.000000000000000000e+00,8.000000000000000000e+00,9.583340180861273927e-01,5.569191243896012278e-01,5.605324308226797281e-02,3.388934639803114490e-01,8.851512200714253265e-01,1.000000000000000000e+00,5.691912438960122778e-02,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+01,2.700000000000000000e+01,1.080000000000000000e+03,1.280000000000000000e+02,1.382400000000000000e+05,2.000000000000000000e+00,9.000000000000000000e+00,9.583340180861273927e-01,5.351859678296281286e-01,6.804213532995352642e-02,3.316449227703786584e-01,8.900116452006295864e-01,1.000000000000000000e+00,3.518596782962812863e-02,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+01,2.700000000000000000e+01,1.080000000000000000e+03,1.280000000000000000e+02,1.382400000000000000e+05,2.000000000000000000e+00,1.000000000000000000e+01,9.583340180861273927e-01,4.732589765130461590e-01,2.616435293149266955e-02,3.397816855154562887e-01,8.845484061882755711e-01,0.000000000000000000e+00,2.674102348695384102e-02,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+01,2.700000000000000000e+01,1.080000000000000000e+03,1.280000000000000000e+02,1.382400000000000000e+05,2.000000000000000000e+00,1.100000000000000000e+01,9.583340180861273927e-01,4.322028561087002951e-01,3.326505876530244654e-02,3.367392394911341014e-01,8.866066845869325919e-01,0.000000000000000000e+00,6.779714389129970487e-02,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+01,2.700000000000000000e+01,1.080000000000000000e+03,1.280000000000000000e+02,1.382400000000000000e+05,2.000000000000000000e+00,1.200000000000000000e+01,9.583340180861273927e-01,4.519852057865424433e-01,4.284518524832520853e-02,3.326494244088725738e-01,8.893443604404458469e-01,0.000000000000000000e+00,4.801479421345755672e-02,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+01,2.700000000000000000e+01,1.080000000000000000e+03,1.280000000000000000e+02,1.382400000000000000e+05,2.000000000000000000e+00,1.300000000000000000e+01,9.583340180861273927e-01,4.846170289279880250e-01,3.304771780799371783e-02,3.366135070543120889e-01,8.866913468685966304e-01,0.000000000000000000e+00,1.538297107201197500e-02,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+01,2.700000000000000000e+01,1.080000000000000000e+03,1.280000000000000000e+02,1.382400000000000000e+05,2.000000000000000000e+00,1.400000000000000000e+01,9.583340180861273927e-01,2.609249742197247701e-01,1.619029452149548312e-02,3.415140247163555021e-01,8.833681709220366773e-01,0.000000000000000000e+00,2.390750257802752299e-01,1.000000000000000000e+00,1.000000000000000000e+00
