kind_code,target,readout_flip_probability,shots_per_setting,settings_per_parameter_point,shots_per_parameter_point,equatorial_points_per_family,total_equatorial_shots_per_family,realization,W3_clean_grid,W3_reconstructed,min_patch_overlap,projector_distance_rms,mean_subspace_fidelity,nearest_integer,parity_margin_to_half_integer,parity_error,integer_error
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,0.000000000000000000e+00,9.583340180861273927e-01,7.943632563586905393e-01,1.913177202806635724e-01,2.154129215847104539e-01,9.535972732143394026e-01,1.000000000000000000e+00,2.943632563586905393e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,1.000000000000000000e+00,9.583340180861273927e-01,7.761981073882359139e-01,2.131472283173223570e-01,2.164313192671828701e-01,9.531574840402667892e-01,1.000000000000000000e+00,2.761981073882359139e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,2.000000000000000000e+00,9.583340180861273927e-01,7.968937305062004928e-01,1.902504829084660232e-01,2.152735480544049063e-01,9.536572995080677684e-01,1.000000000000000000e+00,2.968937305062004928e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,3.000000000000000000e+00,9.583340180861273927e-01,7.745519099561356535e-01,1.705094564323025863e-01,2.195497319438480532e-01,9.517979152033844148e-01,1.000000000000000000e+00,2.745519099561356535e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,4.000000000000000000e+00,9.583340180861273927e-01,7.539537329673130506e-01,1.534139526457970748e-01,2.205356878793638120e-01,9.513640103715756968e-01,1.000000000000000000e+00,2.539537329673130506e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,5.000000000000000000e+00,9.583340180861273927e-01,7.422915869257858956e-01,1.739160589600638185e-01,2.239669882885211294e-01,9.498387881569694269e-01,1.000000000000000000e+00,2.422915869257858956e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,6.000000000000000000e+00,9.583340180861273927e-01,7.662055241149895446e-01,1.960829924797669044e-01,2.149775334413332462e-01,9.537846601154804649e-01,1.000000000000000000e+00,2.662055241149895446e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,7.000000000000000000e+00,9.583340180861273927e-01,7.502077245032182651e-01,1.526629028677384259e-01,2.235959650155591727e-01,9.500048444287607641e-01,1.000000000000000000e+00,2.502077245032182651e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,8.000000000000000000e+00,9.583340180861273927e-01,8.039387900474952442e-01,1.339587782293882867e-01,2.179302503841781258e-01,9.525064059674892558e-01,1.000000000000000000e+00,3.039387900474952442e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,9.000000000000000000e+00,9.583340180861273927e-01,7.682926221962919078e-01,1.821431672768856480e-01,2.235264630177481726e-01,9.500359203307751077e-01,1.000000000000000000e+00,2.682926221962919078e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,1.000000000000000000e+01,9.583340180861273927e-01,7.960724205936695608e-01,1.765782874248465473e-01,2.192000466299439121e-01,9.519513395574303871e-01,1.000000000000000000e+00,2.960724205936695608e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,1.100000000000000000e+01,9.583340180861273927e-01,7.746917424242509842e-01,1.743824055015010255e-01,2.195254053565064423e-01,9.518085964030615909e-01,1.000000000000000000e+00,2.746917424242509842e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,1.200000000000000000e+01,9.583340180861273927e-01,7.596425541337765708e-01,1.429521146832300194e-01,2.182314774291791437e-01,9.523750222590776637e-01,1.000000000000000000e+00,2.596425541337765708e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,1.300000000000000000e+01,9.583340180861273927e-01,8.062297405969706121e-01,1.689981605500808781e-01,2.147015015037467278e-01,9.539032652520367250e-01,1.000000000000000000e+00,3.062297405969706121e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,1.400000000000000000e+01,9.583340180861273927e-01,7.665876589924678353e-01,1.580078645978202634e-01,2.235997397120106367e-01,9.500031564007210827e-01,1.000000000000000000e+00,2.665876589924678353e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,1.500000000000000000e+01,9.583340180861273927e-01,8.108216099050161718e-01,1.648002629637462801e-01,2.168338749600091653e-01,9.529830706698270149e-01,1.000000000000000000e+00,3.108216099050161718e-01,0.000000000000000000e+00,0.000000000000000000e+00
