grid_N,parameter_points_per_family,projector_reconstructions_per_family,transition_matrices_per_family,W3_odd_bundle,min_overlap_N_odd,min_overlap_S_odd,W3_factorized_reference,min_overlap_N_even,min_overlap_S_even
4.000000000000000000e+00,1.280000000000000000e+02,1.280000000000000000e+02,1.280000000000000000e+02,9.583340180861273927e-01,3.631712162630952867e-01,3.344831389957706458e-01,1.942941953974608449e+00,4.999999999999990008e-01,4.999999999999988343e-01
5.000000000000000000e+00,2.500000000000000000e+02,2.500000000000000000e+02,2.500000000000000000e+02,9.857806917590773432e-01,3.601978461236618467e-01,3.324337458811615909e-01,1.995482300449532787e+00,4.999999999999989453e-01,4.999999999999988898e-01
6.000000000000000000e+00,4.320000000000000000e+02,4.320000000000000000e+02,4.320000000000000000e+02,9.971809806596574344e-01,3.611367677562495326e-01,3.280080043958741309e-01,1.999749821286831208e+00,4.999999999999988898e-01,4.999999999999986677e-01
8.000000000000000000e+00,1.024000000000000000e+03,1.024000000000000000e+03,1.024000000000000000e+03,9.996373645029611454e-01,3.605114062778640438e-01,3.251712859662806987e-01,1.999999693112565868e+00,4.999999999999986677e-01,4.999999999999987232e-01
1.000000000000000000e+01,2.000000000000000000e+03,2.000000000000000000e+03,2.000000000000000000e+03,9.999647876804532709e-01,3.602136007558667807e-01,3.238035018970117362e-01,1.999999999857538624e+00,4.999999999999987232e-01,4.999999999999985567e-01
1.200000000000000000e+01,3.456000000000000000e+03,3.456000000000000000e+03,3.456000000000000000e+03,9.999975799902491858e-01,3.600424174203641914e-01,3.230792511144267576e-01,1.999999999999966915e+00,4.999999999999983347e-01,4.999999999999984457e-01
