ky,energy,edge_weight,ZA_expect,ZB_expect
-3.036872898470133197e+00,-7.821353247256307428e-01,9.999999815234567047e-01,-1.298810924770916683e-02,9.999999999976477705e-01
-3.036872898470133197e+00,-7.821353247256304098e-01,9.999999815234561495e-01,1.298810924770985031e-02,-9.999999999976469933e-01
-3.036872898470133197e+00,-7.486088696557149369e-01,9.999630911088505103e-01,-8.144678846869305181e-04,9.999939281738488006e-01
-3.036872898470133197e+00,-7.486088696557149369e-01,9.999630911088516205e-01,8.144678846864597576e-04,-9.999939281738501329e-01
-3.036872898470133197e+00,-7.483951153137206047e-01,9.999999886008117400e-01,5.306087221842218336e-03,-9.999999999999982236e-01
-3.036872898470133197e+00,-7.430954142200524304e-01,9.999636271223736328e-01,2.532052188549959847e-03,-9.999999999999997780e-01
-3.036872898470133197e+00,-7.430925061968861600e-01,9.999636273326296676e-01,-2.501589654601547690e-03,9.999999999999992228e-01
-3.036872898470133197e+00,-6.963054776589289174e-01,9.999999941878253695e-01,2.995384544526520990e-02,1.000000000000000222e+00
-3.036872898470133197e+00,-3.264834008715896130e-01,9.999999999999227285e-01,-3.857676963013091931e-01,9.999999999847138943e-01
-3.036872898470133197e+00,-3.264834008715895575e-01,9.999999999999223954e-01,3.857676963013092486e-01,-9.999999999847137833e-01
-3.036872898470133197e+00,-2.757972959619599540e-01,9.999999999999349409e-01,-4.013057094852652829e-01,-1.000000000000000222e+00
-3.036872898470133197e+00,-1.552072415038491804e-01,9.999999999999534817e-01,3.031637641162308050e-01,9.999999999999992228e-01
-3.036872898470133197e+00,2.154247700375995223e-01,9.999999999999474865e-01,3.857695637654890430e-01,9.999999999187079158e-01
-3.036872898470133197e+00,2.154247700375997443e-01,9.999999999999458211e-01,-3.857695637654882104e-01,-9.999999999187063615e-01
-3.036872898470133197e+00,2.700465806431360805e-01,9.999999999999374944e-01,4.013064740479067027e-01,-9.999999999999991118e-01
-3.036872898470133197e+00,3.694449215507281670e-01,9.999999999999102940e-01,-3.031626098227195865e-01,1.000000000000000222e+00
-3.036872898470133197e+00,7.333058336637019448e-01,9.999999907007239841e-01,1.302120165400058593e-02,-9.999999999583337740e-01
-3.036872898470133197e+00,7.333058336637026109e-01,9.999999907007262046e-01,-1.302120165400126074e-02,9.999999999583361054e-01
-3.036872898470133197e+00,7.655587661121768805e-01,9.999999850377008226e-01,-1.480981776711649128e-02,-9.999999999999992228e-01
-3.036872898470133197e+00,7.658370717260974958e-01,9.999599520762710858e-01,-7.722671743195047784e-04,9.999996663933821139e-01
-3.036872898470133197e+00,7.658370717260974958e-01,9.999599520762714189e-01,7.722671743197725763e-04,-9.999996663933823360e-01
-3.036872898470133197e+00,7.713799716050659949e-01,9.999592355606022887e-01,2.569929136320180715e-03,-9.999999999999991118e-01
