A_label,B_label,particle_transfer_right,B_weighted_transfer,min_subspace_singular_value
1.000000000000000000e+00,1.000000000000000000e+00,9.999999999264019834e-01,9.999999999264019834e-01,9.999901442145769925e-01
1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.999960454404802634e-01
-1.000000000000000000e+00,1.000000000000000000e+00,9.999999999113811100e-01,9.999999999113811100e-01,9.999901442145769925e-01
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.999960454404852594e-01
