flux,total_charge_right,A_charge_right,B_charge_right
4.428571428571428381e-01,-3.744078209422241343e-04,-3.495870259939692914e-12,1.769523927597333568e+00
4.500000000000000111e-01,-3.741201147420269990e-04,-3.495870259939692914e-12,1.797867724297418590e+00
4.571428571428571286e-01,-3.734463713556124276e-04,-3.524291969370096922e-12,1.826212084899481169e+00
4.642857142857143016e-01,-3.723879090244963663e-04,-3.481659405224490911e-12,1.854557461482372105e+00
4.714285714285714191e-01,-3.709467986965364616e-04,-3.424815986363682896e-12,1.882904304172271281e+00
4.785714285714285920e-01,-3.691258609705982963e-04,-3.467448550509288907e-12,1.911253060276692395e+00
4.857142857142857095e-01,-3.669286603553700843e-04,-3.439026841078884900e-12,1.939604173423617794e+00
4.928571428571428825e-01,-3.643594995565990757e-04,-3.453237695794086903e-12,1.967958082706118716e+00
5.000000000000000000e-01,-3.614234112916392405e-04,-3.453237695794086903e-12,1.996315221834763065e+00
5.071428571428571175e-01,-3.581261494645104904e-04,-3.453237695794086903e-12,2.024676018298734448e+00
5.142857142857142350e-01,-3.544741787919747367e-04,-3.367972567502874881e-12,2.053040892537509876e+00
5.214285714285714635e-01,-3.504746630653698958e-04,-3.353761712787672877e-12,2.081410257123764040e+00
5.285714285714285809e-01,-3.461354526734794490e-04,-3.325340003357268870e-12,2.109784515960143381e+00
5.357142857142856984e-01,-3.414650697948218294e-04,-3.240074875066056848e-12,2.138164063489966793e+00
5.428571428571428159e-01,-3.364726933341444237e-04,-3.183231456205248833e-12,2.166549283923899338e+00
5.500000000000000444e-01,-3.311681421678258630e-04,-3.126388037344440818e-12,2.194940550484432151e+00
5.571428571428571619e-01,-3.255618571813556628e-04,-3.069544618483632803e-12,2.223338224668481189e+00
5.642857142857142794e-01,-3.196648823404757422e-04,-3.041122909053228796e-12,2.251742655530222237e+00
5.714285714285713969e-01,-3.134888440854410874e-04,-2.984279490192420781e-12,2.280154178985526414e+00
5.785714285714286254e-01,-3.070459300857919516e-04,-2.913225216616410762e-12,2.308573117138891462e+00
5.857142857142857428e-01,-3.003488668866793887e-04,-2.899014361901208758e-12,2.336999777634531483e+00
5.928571428571428603e-01,-2.934108958783099297e-04,-2.771116669464390725e-12,2.365434453032932538e+00
5.999999999999999778e-01,-2.862457488532754724e-04,-2.771116669464390725e-12,2.393877420214082008e+00
6.071428571428570953e-01,-2.788676221570085545e-04,-2.685851541173178703e-12,2.422328939808082282e+00
6.142857142857143238e-01,-2.712911501419057458e-04,-2.643218977027572691e-12,2.450789255655678289e+00
