flux,total_charge_right,A_charge_right,B_charge_right;T=100.0
5.833333333333333426e-02,-1.536661801215366552e-03,5.977697592918218561e-06,2.729637181637167842e-01
5.972222222222222515e-02,-1.643001146288014525e-03,5.592920553354474578e-06,2.738021852543592871e-01
6.111111111111111605e-02,-1.719106513938584158e-03,3.608154516498984776e-06,2.739164878115776247e-01
6.250000000000000000e-02,-1.760141511836010864e-03,-1.228445363210539654e-07,2.738955478700138002e-01
6.388888888888889783e-02,-1.762405135395717082e-03,-5.295156261020395050e-06,2.743317917365333258e-01
6.527777777777778179e-02,-1.723677345782270720e-03,-1.107129597510692065e-05,2.757367607540599508e-01
6.666666666666666574e-02,-1.643817440657002749e-03,-1.614046841424965351e-05,2.784830464949799023e-01
6.805555555555556357e-02,-1.525570663292619145e-03,-1.894542432356871586e-05,2.827799943144038153e-01
6.944444444444444753e-02,-1.375424036725192423e-03,-1.805386465036917798e-05,2.886791604895151409e-01
7.083333333333333148e-02,-1.204254225697809488e-03,-1.259575220480257940e-05,2.960992421237875760e-01
7.222222222222222932e-02,-1.027464931923738334e-03,-2.646325779842584325e-06,3.048594058377807059e-01
7.361111111111111327e-02,-8.643468886164740184e-04,1.057436539131373365e-05,3.147121471902076806e-01
7.499999999999999722e-02,-7.365186185008809616e-04,2.478126761751298091e-05,3.253694952059795753e-01
7.638888888888889506e-02,-6.655031836952929325e-04,3.700840829701235180e-05,3.365188723509628943e-01
7.777777777777777901e-02,-6.697215568678416275e-04,4.423310975809613410e-05,3.478281991818636953e-01
7.916666666666666297e-02,-7.613768698053746675e-04,4.409734720134395047e-05,3.589445944596185711e-01
8.055555555555556080e-02,-9.438067795803917193e-04,3.554203310418557749e-05,3.694959342623596044e-01
8.194444444444444475e-02,-1.209856368737938226e-03,1.918215341323303846e-05,3.791063385017041654e-01
8.333333333333334259e-02,-1.541670503517167390e-03,-2.685991452366920385e-06,3.874323842895499581e-01
8.472222222222222654e-02,-1.912059357383810720e-03,-2.645929301081650920e-05,3.942166449187407551e-01
8.611111111111111049e-02,-2.287315052056371201e-03,-4.790109991859026195e-05,3.993434193750786676e-01
8.750000000000000833e-02,-2.631113722365796548e-03,-6.295998435135174986e-05,4.028750652517203434e-01
8.888888888888889228e-02,-2.908968898759134447e-03,-6.855450957754527508e-05,4.050513248847815717e-01
9.027777777777777624e-02,-3.092623750794665227e-03,-6.316395603089830502e-05,4.062481225366516568e-01
9.166666666666667407e-02,-3.163774648607287077e-03,-4.711806823998188065e-05,4.069099333080945513e-01
9.305555555555555802e-02,-3.116594146159279433e-03,-2.254685244285070667e-05,4.074813650471087456e-01
9.444444444444444198e-02,-2.958662345449170061e-03,6.983210106170645304e-06,4.083620217407535335e-01
9.583333333333333981e-02,-2.710122543509996262e-03,3.706857484253589519e-05,4.098942204634443698e-01
9.722222222222222376e-02,-2.401142637041608907e-03,6.319214968275588262e-05,4.123736624817189167e-01
9.861111111111112160e-02,-2.068054115060391496e-03,8.144446499791513361e-05,4.160601324591688410e-01
1.000000000000000056e-01,-1.748789951526497077e-03,8.912015791207039683e-05,4.211668179914029864e-01
1.013888888888888895e-01,-1.478371586790316883e-03,8.509174377024919522e-05,4.278224931424414734e-01
1.027777777777777873e-01,-1.285146429898631482e-03,6.990662575923067834e-05,4.360214478375716851e-01
1.041666666666666713e-01,-1.188253393290317206e-03,4.561084570209317235e-05,4.455889762814200239e-01
1.055555555555555552e-01,-1.196469560201585125e-03,1.536078152408748565e-05,4.561868788984400069e-01
1.069444444444444531e-01,-1.308287688335241228e-03,-1.707590534039127306e-05,4.673647965864908826e-01
1.083333333333333370e-01,-1.512904117013214034e-03,-4.782092292021644653e-05,4.786396989614383202e-01
1.097222222222222210e-01,-1.791804027255317067e-03,-7.330606363797897984e-05,4.895713142845563581e-01
1.111111111111111188e-01,-2.120765161906845719e-03,-9.058321946397995816e-05,4.998046348450628784e-01
1.125000000000000028e-01,-2.472241371132888332e-03,-9.754281707774481447e-05,5.090702719307591551e-01
1.138888888888888867e-01,-2.818111706226922308e-03,-9.308391719375919138e-05,5.171579354074937740e-01
1.152777777777777846e-01,-3.132642013075503939e-03,-7.726511758665566276e-05,5.238930763668152579e-01
1.166666666666666685e-01,-3.395270111188786188e-03,-5.142107536304507676e-05,5.291427700032320658e-01
1.180555555555555663e-01,-3.592645048835940713e-03,-1.818132218023293944e-05,5.328564031297782222e-01
1.194444444444444503e-01,-3.719380500584179572e-03,1.869188168690527618e-05,5.351218755481017553e-01
1.208333333333333343e-01,-3.777282625245348413e-03,5.470121096351476808e-05,5.362038461980613846e-01
1.222222222222222321e-01,-3.773296335479514596e-03,8.522876183114647120e-05,5.365358689624581956e-01
1.236111111111111160e-01,-3.716872889687472536e-03,1.062601910399862959e-04,5.366603338542494939e-01
1.250000000000000000e-01,-3.617667901200327663e-03,1.150493398318630511e-04,5.371362635823606624e-01
1.263888888888888840e-01,-3.484307950187393033e-03,1.105519903221718891e-04,5.384501580001108678e-01
1.277777777777777957e-01,-3.324473475732503402e-03,9.352198252088328445e-05,5.409608163308607942e-01
1.291666666666666796e-01,-3.145958786812563801e-03,6.626946101473407680e-05,5.448885764587716452e-01
1.305555555555555636e-01,-2.957967426867824656e-03,3.218380489755645613e-05,5.503353663023204945e-01
1.319444444444444475e-01,-2.771874267517127066e-03,-4.821561486956227327e-06,5.573087178589686275e-01
1.333333333333333315e-01,-2.601032344509590644e-03,-4.079960209324440257e-05,5.657277498519626135e-01
1.347222222222222154e-01,-2.459724056846468443e-03,-7.212251408184044976e-05,5.754080241591292832e-01
1.361111111111111271e-01,-2.361763823540918850e-03,-9.570971892980395523e-05,5.860424378686301949e-01
1.375000000000000111e-01,-2.319331992342021920e-03,-1.091989890751321468e-04,5.972036240791505080e-01
1.388888888888888951e-01,-2.342330621424082437e-03,-1.111264850255366810e-04,6.083840983897044197e-01
1.402777777777777790e-01,-2.438086553377516452e-03,-1.011275930746791119e-04,6.190691752440677931e-01
1.416666666666666630e-01,-2.610883641914085729e-03,-8.010015154269467530e-05,6.288177291098815402e-01
1.430555555555555747e-01,-2.860824661352623366e-03,-5.022998920622967489e-05,6.373198146838738865e-01
1.444444444444444586e-01,-3.181943823832966700e-03,-1.479541802318351529e-05,6.444120837948812408e-01
1.458333333333333426e-01,-3.560114454345786328e-03,2.226017877493546848e-05,6.500547873556081768e-01
1.472222222222222265e-01,-3.971781912634142486e-03,5.690465138030731396e-05,6.542940251244537819e-01
1.486111111111111105e-01,-4.384594895553206584e-03,8.559227164717242431e-05,6.572376408715072671e-01
1.499999999999999944e-01,-4.760510019156782846e-03,1.056839389743657875e-04,6.590598947100652083e-01
1.513888888888889062e-01,-5.061077738685249017e-03,1.156223503437914246e-04,6.600270729098705047e-01
1.527777777777777901e-01,-5.253751515864379940e-03,1.148734164075904118e-04,6.605179429347955988e-01
1.541666666666666741e-01,-5.317584349153747780e-03,1.037346714856113294e-04,6.610111386076891193e-01
1.555555555555555580e-01,-5.246804127986059996e-03,8.314598254788307941e-05,6.620279238872912586e-01
1.569444444444444420e-01,-5.051435057811026752e-03,5.460284787250913041e-05,6.640439448649955168e-01
1.583333333333333259e-01,-4.755061124468440426e-03,2.018859243513304591e-05,6.674026101999466221e-01
1.597222222222222376e-01,-4.390624664018183410e-03,-1.734685606979979866e-05,6.722641737866181799e-01
1.611111111111111216e-01,-3.995528620836630296e-03,-5.458248953704725182e-05,6.786073502924461209e-01
1.625000000000000056e-01,-3.607192485715060570e-03,-8.760277610342370735e-05,6.862743353409523905e-01
1.638888888888888895e-01,-3.259748771746728835e-03,-1.123943292515861003e-04,6.950304368853359449e-01
1.652777777777777735e-01,-2.982025785980724208e-03,-1.254143528921503048e-04,7.046072240137011278e-01
1.666666666666666852e-01,-2.796578062767451911e-03,-1.242144303361669699e-04,7.147137544704111889e-01
1.680555555555555691e-01,-2.719391753749356155e-03,-1.079789057909508188e-04,7.250239776436222527e-01
1.694444444444444531e-01,-2.759946233799936977e-03,-7.785677679095215353e-05,7.351652988975025949e-01
1.708333333333333370e-01,-2.921413362920510792e-03,-3.701069117756361493e-05,7.447333496773227424e-01
1.722222222222222210e-01,-3.200813389386603092e-03,9.646509119498603013e-06,7.533414462434437908e-01
1.736111111111111049e-01,-3.588921561246571912e-03,5.601966923851620095e-05,7.606903543875640494e-01
1.750000000000000167e-01,-4.069734195199181670e-03,9.566202406308121908e-05,7.666288683271060833e-01
1.763888888888889006e-01,-4.619476657630627869e-03,1.227837298412026712e-04,7.711776439884410195e-01
1.777777777777777846e-01,-5.205497718952400987e-03,1.332936941818019250e-04,7.745066795695301209e-01
1.791666666666666685e-01,-5.785824197218403242e-03,1.256686241504212376e-04,7.768802108991987865e-01
1.805555555555555525e-01,-6.310408539459189114e-03,1.014139507855560396e-04,7.785978546061098626e-01
1.819444444444444642e-01,-6.724952394663752386e-03,6.492255051337991745e-05,7.799589420386796590e-01
1.833333333333333481e-01,-6.977538376390590713e-03,2.266629964697841615e-05,7.812596406186473885e-01
1.847222222222222321e-01,-7.027292602353796269e-03,-1.815054876175281606e-05,7.828102619549390795e-01
1.861111111111111160e-01,-6.853289789538585808e-03,-5.115252700793604390e-05,7.849464192491089065e-01
1.875000000000000000e-01,-6.461338042911712876e-03,-7.213257171390097255e-05,7.880105753759520937e-01
1.888888888888888840e-01,-5.886464607734787080e-03,-7.976781051066694772e-05,7.922983432855223995e-01
1.902777777777777957e-01,-5.189910567874989056e-03,-7.549907048343129645e-05,7.979863192912670655e-01
1.916666666666666796e-01,-4.450944728078276569e-03,-6.264902760211299437e-05,8.050723745754817529e-01
1.930555555555555636e-01,-3.755300127436633773e-03,-4.512923149047054494e-05,8.133571894951119319e-01
1.944444444444444475e-01,-3.182964688518197249e-03,-2.623321555894619905e-05,8.224785850128579767e-01
1.958333333333333315e-01,-2.798065682397599119e-03,-7.961105713327754074e-06,8.319872472319920220e-01
1.972222222222222432e-01,-2.642680316684575814e-03,8.917569338962039183e-06,8.414357286828888505e-01
1.986111111111111271e-01,-2.734954980171622196e-03,2.418633540735015686e-05,8.504500759429358681e-01
2.000000000000000111e-01,-3.070516847331283827e-03,3.729282931086430608e-05,8.587650255365621987e-01
2.013888888888888951e-01,-3.625379106149573261e-03,4.675442818413699797e-05,8.662221532041973759e-01
2.027777777777777790e-01,-4.358669351471000653e-03,5.023600971032493590e-05,8.727457742669626484e-01
