lambda,C2_order6,C2_order8,min_quadrature_gap
0.000000000000000000e+00,9.999629036998493037e-01,9.999999714887737312e-01,1.999999999999997335e+00
4.000000000000000222e-01,1.000495544048909169e+00,1.000016503948768287e+00,1.751116428444575490e+00
8.000000000000000444e-01,1.002278251662440001e+00,1.000065479504678168e+00,1.505255981537715337e+00
1.100000000000000089e+00,1.004741562097941632e+00,1.000102966959657946e+00,1.323352115877664215e+00
1.250000000000000000e+00,1.006442973347131620e+00,1.000092516066646064e+00,1.233370990514769838e+00
